timestamp,station_id,temp_c,dewpoint_c,pressure_hpa,wind_mps,rain_mm_hr,soil_pct,stream_cm,event_type
2007-06-25T14:00:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T14:15:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T14:30:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T14:45:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T15:00:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T15:15:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T15:30:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T15:45:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T16:00:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T16:15:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T16:30:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T16:45:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T17:00:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T17:15:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T17:30:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T17:45:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T18:00:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T18:15:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T18:30:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
2007-06-25T18:45:00,8166200,32.0,20.0,1015.0,3.0,0.0,30.0,60.0,normal
